open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1578722400000,8087.64,8156.00,8012.29,8049.81,38757.043,1578743999999,313402853.63465,79553,19009.406,153709461.28660,0
1578744000000,8049.26,8219.38,8020.00,8160.00,38661.633,1578765599999,313729626.30618,80228,19729.868,160165861.41364,0
1578765600000,8159.99,8292.19,8003.87,8020.56,43572.447,1578787199999,354171211.71133,99664,20940.888,170324116.00621,0
1578787200000,8020.58,8119.24,7956.28,8108.23,26023.031,1578808799999,209591130.07889,55675,12910.188,103988118.24072,0
1578808800000,8108.06,8166.72,8083.13,8117.73,22761.174,1578830399999,184901399.31881,51368,11649.660,94643222.63018,0
1578830400000,8117.70,8195.00,8070.13,8101.86,37968.193,1578851999999,308892981.84447,92026,18939.506,154072173.52927,0
1578852000000,8101.86,8189.00,8083.22,8186.70,21877.566,1578873599999,178042544.44544,44221,11159.382,90839507.44455,0
1578873600000,8186.22,8200.00,8080.00,8098.16,18879.748,1578895199999,153475168.66339,42351,8984.550,73055561.82445,0
1578895200000,8098.32,8135.93,8053.78,8080.00,18752.234,1578916799999,151868624.83126,46118,8786.439,71180309.22546,0
1578916800000,8080.00,8132.00,8055.00,8098.35,19527.180,1578938399999,158015752.40721,51480,9875.321,79922328.24902,0
1578938400000,8098.35,8165.00,8089.00,8113.00,17422.202,1578959999999,141562213.16602,44491,9042.267,73491476.07059,0
1578960000000,8112.99,8598.27,8109.02,8487.42,85595.326,1578981599999,719556617.99531,173139,45367.843,381188857.18170,0
1578981600000,8487.41,8567.90,8474.62,8530.24,30616.438,1579003199999,260745122.61089,68467,14821.876,126256916.53904,0
1579003200000,8530.24,8833.55,8479.54,8791.09,121611.236,1579024799999,1051789962.10836,272860,62644.505,541982412.65831,0
1579024800000,8790.85,8893.00,8678.01,8825.00,52954.981,1579046399999,464650133.55520,138454,26623.483,233712966.69514,0
1579046400000,8825.00,8918.50,8570.52,8618.36,71021.538,1579067999999,620889120.20462,139004,32588.606,284960416.03894,0
1579068000000,8618.02,8811.00,8610.68,8738.06,43771.770,1579089599999,381431582.55552,76314,21807.904,190060439.16043,0
1579089600000,8738.06,8921.20,8680.42,8801.77,82721.262,1579111199999,728563354.97733,147525,40920.031,360481449.49888,0
1579111200000,8801.16,8884.98,8720.04,8825.30,40119.267,1579132799999,353194850.42030,72648,20104.826,177013949.64579,0
1579132800000,8825.35,8868.21,8596.25,8709.66,52359.886,1579154399999,455375902.96152,93970,25936.991,225541645.43037,0
1579154400000,8709.24,8734.88,8607.05,8730.35,39172.617,1579175999999,339867429.57543,69774,19993.470,173461866.69936,0
1579176000000,8730.74,8793.77,8634.00,8684.05,51355.125,1579197599999,446985956.49791,84607,24908.197,216803728.58332,0
1579197600000,8684.57,8764.95,8664.00,8725.08,25071.335,1579219199999,218420167.30977,46228,12467.100,108623268.42038,0
1579219200000,8724.99,8905.00,8680.00,8897.56,43421.458,1579240799999,381489419.27112,78802,22795.461,200395630.20277,0
1579240800000,8897.98,9039.00,8856.34,8914.51,73983.024,1579262399999,661962511.44586,146148,36856.949,329889977.09051,0
1579262400000,8914.51,8934.47,8785.00,8896.98,52847.575,1579283999999,468181517.02595,97751,25596.463,226802126.75179,0
1579284000000,8896.98,8968.00,8816.14,8918.72,35465.629,1579305599999,316126693.39265,67762,17509.162,156079669.75711,0
1579305600000,8918.73,8995.00,8825.44,8855.30,32487.934,1579327199999,289535465.45720,62778,16077.222,143296318.38332,0
